n,route,current_name,canonical_ar,canonical_en,old_names,definition,owner_dept,level,canonical_group,sort,nature,dept_count,depts,decision,status,derivation,view_of,merge_into,retirement_status,route_variant,current_label,current_parent,current_order,section
269,Operations/monthly_close.php,"الإقفال الشهري للوحدة","الإقفال الشهري للوحدة","Monthly Close",—,"تُقفل الوحدة التشغيلية شهريًّا بعد اكتمال بياناتها. الغرض تثبيت أرقام الشهر فلا تُعدَّل بعد إقفاله، وفتحُ الباب للفوترة والتسوية. تستخدمها إدارة التشغيل والمالية.","إدارة التشغيل","2 — العمليات","الانحرافات وإقفال الفترة",820,"شاشةٌ مستقلة",3,"إدارة المالية · إدارة الموقع · ادارة التشغيل","يُنقل إلى موضعِه المعياريّ",APPROVED,"دورةُ الإدارةِ المالكةِ في الحزمة",—,—,ACTIVE,—,"الإقفال الشهري للوحدة","إقفال الفترة · إقفال اليوم · تحويل العمل إلى مستحق","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","إدارة التشغيل"
270,Operations/containers.php,"الوحدات التعاقدية المرقَّمة / إسناد المعدات للوحدات / حاويات العقود","إسناد المعدات للوحدات",Containers,"الوحدات التعاقدية المرقَّمة / إسناد المعدات للوحدات / حاويات العقود · نعطيه حصتَهحصتُه من عقدِ العميلِ ثم توزيعُها على معداته · نوزّع الحاوياتكم وحدةً لكلِّ نوعِ آليةٍ وكم آليةً لكلِّ نوع","تعرض حاويات العقد في شجرةٍ بمستوياتها: سقفُ كل حاويةٍ والموزَّع منها والمتاح والمستهلَك والمتبقّي بوحدته، ومن أين اشتُقّت. الغرض ضبط الطاقة التعاقدية توزيعًا واستهلاكًا فلا يُخصَّص","إدارة التشغيل","2 — العمليات","التخطيط وتخصيص الموارد",450,"شاشةٌ مستقلة",5,"إدارة الموقع (قديم — مدمج في 6) · ادارة الاسطول · ادارة التشغيل · ادارة المبيعات · ادارة الموردين","يُنقل إلى موضعِه المعياريّ",APPROVED,"مطابقةٌ دلاليةٌ بمراحلِ دورةِ الإدارةِ المالكة",—,—,ACTIVE,—,"الوحدات التعاقدية المرقَّمة / إسناد المعدات للوحدات / حاويات العقود","التخصيص والحركة · السجلات الرئيسية · خطة الشهر · نعطيه حصتَهحصتُه من عقدِ العميلِ ثم توزيعُها على معداته · نوزّع الحاوياتكم وحدةً لكلِّ نوعِ آليةٍ وكم آليةً لكلِّ نوع","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","إدارة التشغيل"
271,Operations/distribution_space.php,"توزيع المعدات والمشغّلين / تكليف المشغّل على المعدة / مساحة التوزيع","تكليف المشغّل على المعدة","Distribution Space","توزيع المعدات والمشغّلين / تكليف المشغّل على المعدة / مساحة التوزيع","تعرض شبكةً صفُّها معدةٌ وعمودُها ورديةٌ وخليتُها مشغّل، لتوزيع المشغّلين على المعدات والورديات بصريًّا. الغرض تخطيطُ التوزيع قبل التنفيذ مع فحص التعارض في الخادم لا في المتصفح وحده","إدارة التشغيل","2 — العمليات","التخطيط وتخصيص الموارد",450,"شاشةٌ مستقلة",6,"إدارة الموقع · إدارة الموقع (قديم — مدمج في 6) · ادارة الاسطول · ادارة التشغيل · ادارة الموارد البشرية · القوى التشغيلية","يُنقل إلى موضعِه المعياريّ",APPROVED,"مطابقةٌ دلاليةٌ بمراحلِ دورةِ الإدارةِ المالكة",—,—,ACTIVE,—,"توزيع المعدات والمشغّلين / تكليف المشغّل على المعدة / مساحة التوزيع","التخصيص والحركة · التكليف والتوزيع · العمل اليومي · القوى الميدانية · تجهيز الموارداعتمادُ مديرِ الموقعِ ومحاسبِ الموقعِ معًا · لوحة الإدارة","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","إدارة التشغيل"
272,Operations/equipment_quota.php,"توزيع وحدات المورد على معداته","توزيع وحدات المورد على معداته","Equipment Quota","نعطيه حصتَهحصتُه من عقدِ العميلِ ثم توزيعُها على معداته","توزّع وحدات المورد المتعاقد عليها على معداته بحصصها. الغرض تحديد نصيب كل معدةٍ من التزام المورد فلا تُحمَّل معدةٌ فوق طاقتها ولا تبقى أخرى بلا نصيب. تستخدمها إدارة التشغيل.","إدارة التشغيل","2 — العمليات","التعاقد والتغطية والحصص",311,"تبويبٌ في ملفِّ الكيانِ الأم",2,"ادارة التشغيل · ادارة الموردين","يُحوَّل تبويبًا في الملفِّ الأم + يُنقل إلى موضعِه المعياريّ",APPROVED,"دورةُ الإدارةِ المالكةِ في الحزمة",—,—,ACTIVE,—,"توزيع وحدات المورد على معداته","خطة الشهر · نعطيه حصتَهحصتُه من عقدِ العميلِ ثم توزيعُها على معداته","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","إدارة التشغيل"
273,Operations/production.php,"الإنتاج والقياس","الإنتاج والقياس",Production,"نتابع التنفيذما نُفِّذ فعلًا مقابلَ ما تعاقدنا عليه","تسجّل الإنتاج والقياس اليومي بكمياته ووحداته. الغرض إثبات ما أُنتج فعليًّا في الموقع ليكون أساسَ الاعتماد والفوترة. تستخدمها إدارة الموقع والتشغيل.","إدارة التشغيل","2 — العمليات","التنفيذ اليومي",501,"شاشةٌ مستقلة",3,"إدارة الموقع · ادارة التشغيل · ادارة المبيعات","يُنقل إلى موضعِه المعياريّ",APPROVED,"دورةُ الإدارةِ المالكةِ في الحزمة",—,—,ACTIVE,—,"الإنتاج والقياس","اعتماد الوحدات · تسجيل عمل اليومالمشترياتُ الميدانيةُ وتصفيتُها · نتابع التنفيذما نُفِّذ فعلًا مقابلَ ما تعاقدنا عليه","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","إدارة التشغيل"
274,Operations/fleet_utilization.php,"استغلالُ الأسطول ومردودُه","استغلالُ الأسطول ومردودُه","Fleet Utilization",—,"تقيس استغلال الأسطول ومردود كل معدة بلغة قطاع التأجير: نسبة الاستغلال والعائد مقابل الطاقة. الغرض معرفة أي المعدات تُدرّ وأيّها تُكلّف. تستخدمها إدارة الأسطول والتشغيل.","إدارة التشغيل","4 — التقارير والتحليلات","التأجير قصير الأمد",900,تقرير,1,"ادارة المبيعات","يبقى تقريرًا في المستوى ٤",PENDING_OWNER,"مجلدُ المسارِ والتصنيفُ الوظيفيّ — يلزم تصديقٌ من الوثيقةِ المالكة",—,—,ACTIVE,—,"استغلالُ الأسطول ومردودُه","التأجير قصير الأمد","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","إدارة التشغيل"
275,Operations/fleet_calendar.php,"تقويمُ الأسطول والحجز","تقويمُ الأسطول والحجز","Fleet Calendar",—,"تعرض تقويم الأسطول وحجوزاته: سعةُ كل معدةٍ ومواعيدُ ارتباطها. الغرض أن يعرف المندوب «بماذا أستطيع أن أَعِد؟» قبل أن يَعِد لا بعده. تستخدمها إدارة التشغيل والمبيعات.","إدارة التشغيل","4 — التقارير والتحليلات","التأجير قصير الأمد",900,تقرير,1,"ادارة المبيعات","يبقى تقريرًا في المستوى ٤",PENDING_OWNER,"مجلدُ المسارِ والتصنيفُ الوظيفيّ — يلزم تصديقٌ من الوثيقةِ المالكة",—,—,ACTIVE,—,"تقويمُ الأسطول والحجز","التأجير قصير الأمد","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","إدارة التشغيل"
276,Operations/operations_room.php,"غرفة عمليات المواقع / غرفة عمليات التشغيل","غرفة عمليات المواقع","Operations Room","غرفة عمليات المواقع / غرفة عمليات التشغيل","الشاشةُ الأمُّ ليوم التشغيل بأربعة تبويبات: رفع اليوم لكل موقع، والورديات، والوحدات المسجَّلة بكمياتها وحالاتها، والالتزام بالعقد (الملتزَم شهريًّا مقابل المنفَّذ والفجوة حتى اليوم","إدارة التشغيل","4 — التقارير والتحليلات","التعاقد والتغطية والحصص",350,تقرير,3,"إدارة الموقع · إدارة الموقع (قديم — مدمج في 6) · ادارة التشغيل","يبقى تقريرًا في المستوى ٤ + يُنقل إلى موضعِه المعياريّ",APPROVED,"مطابقةٌ دلاليةٌ بمراحلِ دورةِ الإدارةِ المالكة",—,—,ACTIVE,—,"غرفة عمليات المواقع / غرفة عمليات التشغيل","العمل اليومي · لوحة الإدارة · لوحة الموقع","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","إدارة التشغيل"
277,Maintenance/inspections.php,"الفحص الفني اليومي","الفحص الفني اليومي",Inspections,—,"تعرض سجلّات التفتيش الفني بمرجعها ونوعها والمعدة المفحوصة والفاحص وتاريخه ودرجته، ولكل تفتيشٍ بنودُ استمارةٍ جاهزةٍ من القالب مفلترةً حسب فئة المعدة يؤكّد الفنّي حالة كل بندٍ فيها.","إدارة الصيانة","2 — العمليات","استقبال البلاغ",110,"شاشةٌ مستقلة",3,"إدارة الموقع · ادارة الاسطول · ادارة الصيانة","يُنقل إلى موضعِه المعياريّ",APPROVED,"دورةُ الإدارةِ المالكةِ في الحزمة",—,—,ACTIVE,—,"الفحص الفني اليومي","استقبال العطل وتشخيصه · الجاهزية والتفعيل · معالجة ما تعثّرما ينتظر اعتمادي اليوم","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","إدارة الصيانة"
278,Maintenance/orders.php,"أوامر الصيانة","أوامر الصيانة",Orders,—,"تعرض قائمة أوامر الصيانة ببطاقاتٍ إحصائية وحالة كل أمرٍ عبر دورته (بلاغ ← تنفيذ ← فحص ← إغلاق)، ولكل أمرٍ أسطر العمالة بساعاتها وتكلفتها وأسطر قطع الغيار بكمياتها وأسعارها. الغرض م","إدارة الصيانة","2 — العمليات","التنفيذ والإقفال",300,"شاشةٌ مستقلة",6,"إدارة المالية · إدارة الموقع · ادارة الاسطول · ادارة التشغيل · ادارة الصيانة · ادارة الموردين","يُنقل إلى موضعِه المعياريّ",APPROVED,"دورةُ الإدارةِ المالكةِ في الحزمة",—,—,ACTIVE,—,"أوامر الصيانة","أمر العمل والتكليف · التكلفة والتحميل · الجاهزية والتفعيل · متابعة الانحراف · متابعةُ إدارتيالتقييمُ الدوريُّ وتصفيةُ إنهاءِ العقد · معالجة ما تعثّرما ينتظر اعتمادي اليوم","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","إدارة الصيانة"
279,Maintenance/preventive_plans.php,"خطط الصيانة الوقائية","خطط الصيانة الوقائية","Preventive Plans",—,"تعرض خطط الصيانة الوقائية بأساس استحقاقها وفاصلها الزمني أو الساعي واستحقاقها القادم وحالتها، وقائمةً بما استحقّ الآن، ولكل خطةٍ مهامُّها ومكوّناتها وساعاتها التقديرية. الغرض جدولة","إدارة الصيانة","2 — العمليات","الصيانة الوقائية",450,"شاشةٌ مستقلة",2,"ادارة الاسطول · ادارة الصيانة","يُنقل إلى موضعِه المعياريّ",APPROVED,"مطابقةٌ دلاليةٌ بمراحلِ دورةِ الإدارةِ المالكة",—,—,ACTIVE,—,"خطط الصيانة الوقائية","الجاهزية والتفعيل · الوقائية بالساعات","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","إدارة الصيانة"
280,Maintenance/dashboard_mnt.php,"لوحة الإدارة","لوحة الإدارة — الصيانة","Dashboard Mnt","لوحة الإدارة","تعرض لوحة إدارة الصيانة على قالب المكوّنات السبعة: المعدات الحرجة المتوقفة الآن، والأوامر المفتوحة فوق مدّتها، والوقائية المستحقة، وأين تتكرر الأعطال. الغرض أن يفتتح مدير الصيانة ي","إدارة الصيانة","4 — التقارير والتحليلات","الصيانة الوقائية",450,تقرير,1,"ادارة الصيانة","يبقى تقريرًا في المستوى ٤ + يُنقل إلى موضعِه المعياريّ",APPROVED,"مطابقةٌ دلاليةٌ بمراحلِ دورةِ الإدارةِ المالكة",—,—,ACTIVE,—,"لوحة الإدارة","العمل اليومي","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","إدارة الصيانة"
281,Maintenance/master_data.php,"إعدادات الصيانة","إعدادات الصيانة","Master Data",—,"تعرض كتالوجات الصيانة الموحّدة في شاشةٍ واحدة: أسباب الأعطال وأسباب التوقّف وأنواع المهام والورش. الغرض توحيد القيم المرجعية التي تُختار في أوامر الصيانة والخطط بدل كتابتها نصًّا ح","إدارة الصيانة","5 — البيانات المرجعية","البيانات المرجعية والإعدادات",550,"شاشةٌ مستقلة",1,"ادارة الصيانة","يُنقل إلى موضعِه المعياريّ",APPROVED,"مطابقةٌ دلاليةٌ بمراحلِ دورةِ الإدارةِ المالكة",—,—,ACTIVE,—,"إعدادات الصيانة","العمل اليومي","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","إدارة الصيانة"
282,Maintenance/workshop.php,"الورش والفنيون","الورش والفنيون",Workshop,—,"تعرض الورش والفنيين وتخصّصاتهم وطاقاتهم. الغرض توزيع أوامر الصيانة على ورشةٍ وفنّيٍّ قادرٍ عليها. تستخدمها إدارة الصيانة.","إدارة الصيانة","5 — البيانات المرجعية","البيانات المرجعية والإعدادات",500,"شاشةٌ مستقلة",1,"ادارة الصيانة","يُنقل إلى موضعِه المعياريّ",APPROVED,"دورةُ الإدارةِ المالكةِ في الحزمة",—,—,ACTIVE,—,"الورش والفنيون","أمر العمل والتكليف","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","إدارة الصيانة"
283,Procurement/orders_proc.php,"أوامر الشراء","أوامر الشراء","Orders Proc",—,"تعرض أوامر الشراء بمورّدها وتصنيفها وعملتها وإجماليها وحالتها ومرجع اعتمادها المالي، ولكل أمرٍ سطورُه بكمياتها وأسعارها. الغرض تحويل الطلب المعتمد إلى أمر شراءٍ للمورد؛ ولا يغادر ا","إدارة المشتريات التشغيلية","2 — العمليات","الطلبات وحدود المخزون",350,"شاشةٌ مستقلة",2,"أمين المستودع · إدارة المشتريات","يُنقل إلى موضعِه المعياريّ",APPROVED,"مطابقةٌ دلاليةٌ بمراحلِ دورةِ الإدارةِ المالكة",—,—,ACTIVE,—,"أوامر الشراء","أمر الشراء · الاستلام والفحص","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","إدارة المشتريات التشغيلية"
284,Procurement/requests_proc.php,"طلبات الشراء","طلبات الشراء","Requests Proc",—,"تعرض طلبات الشراء التشغيلية بمصدرها وتصنيفها وأولويتها وحالتها واعتمادها المالي وعدد أصنافها، ولكل طلبٍ سطورُه. الغرض أن يكون باب طلب المواد الموحّد؛ والتصنيف التشغيلي إلزامي (وقائ","إدارة المشتريات التشغيلية","2 — العمليات","الطلبات وحدود المخزون",350,"شاشةٌ مستقلة",5,"أمين المستودع · إدارة المشتريات · إدارة الموقع · ادارة التشغيل · ادارة الصيانة","يُنقل إلى موضعِه المعياريّ",APPROVED,"مطابقةٌ دلاليةٌ بمراحلِ دورةِ الإدارةِ المالكة",—,—,ACTIVE,—,"طلبات الشراء","استقبال الاحتياج · القطع والمواد · طلبات التشغيل · طلبات الموقع · متابعة المخازن","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","إدارة المشتريات التشغيلية"
285,Procurement/po_match.php,"مطابقة الفاتورة بالأمر والاستلام","مطابقة الفاتورة بالأمر والاستلام","Po Match",—,"تطابق أمر الشراء بالاستلام وبفاتورة المورد (المطابقة الثلاثية). الغرض ألّا تُدفع فاتورةٌ لا يقابلها أمرُ شراءٍ واستلامٌ فعلي. يستخدمها مسؤول المشتريات والمالية. (بحاجة لتأكيد التفا","إدارة المشتريات التشغيلية","2 — العمليات","الاستلام والمطابقة",610,"شاشةٌ مستقلة",1,"إدارة المشتريات","يبقى كما هو",APPROVED,"دورةُ الإدارةِ المالكةِ في الحزمة",—,—,ACTIVE,—,"مطابقة الفاتورة بالأمر والاستلام","الاستلام والمطابقة","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","إدارة المشتريات التشغيلية"
286,Procurement/issue_proc.php,"صرف مواد من المخزن / صرف المخزون والعهدة","صرف مواد من المخزن","Issue Proc","صرف مواد من المخزن / صرف المخزون والعهدة","تعرض عمليات صرف المواد من المخزن بمستلِمها وتاريخها والمعدة أو المشروع أو أمر الصيانة المحمَّل عليها وإجماليها وحالتها. الغرض صرف القطعة مع تحميل تكلفتها على بُعدها الصحيح؛ ولا صرف","إدارة المشتريات التشغيلية","2 — العمليات","الطلبات وحدود المخزون",350,"شاشةٌ مستقلة",5,"أمين المستودع · إدارة المالية · إدارة المشتريات · إدارة الموقع · ادارة الصيانة","يُنقل إلى موضعِه المعياريّ",APPROVED,"مطابقةٌ دلاليةٌ بمراحلِ دورةِ الإدارةِ المالكة",—,—,ACTIVE,—,"صرف مواد من المخزن / صرف المخزون والعهدة","التكلفة والتحميل · الصرف والعهدة · العمل اليومي · القطع والمواد · معالجة ما تعثّرما ينتظر اعتمادي اليوم","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","إدارة المشتريات التشغيلية"
287,Procurement/receipt_custody_proc.php,"العهد والمرتجعات / الاستلام المؤقت","الاستلام المؤقت","Receipt Custody Proc","العهد والمرتجعات / الاستلام المؤقت","تعرض عهد الاستلام المؤقت بمستلِمها وتاريخها ومورّدها وموقع الاستلام والوجهة النهائية وعدد أصنافها وحالتها. الغرض تتبّع المواد من لحظة تسلّمها من المورد — وغالبًا خارج المخزن — حتى","إدارة المشتريات التشغيلية","2 — العمليات","الاستلام والمطابقة",650,"شاشةٌ مستقلة",4,"أمين المستودع · إدارة المشتريات · إدارة الموقع · ادارة الصيانة","يُنقل إلى موضعِه المعياريّ",APPROVED,"مطابقةٌ دلاليةٌ بمراحلِ دورةِ الإدارةِ المالكة","زاويةُ نظرٍ لنفسِ البيانات مع: Procurement/wh_receipt.php",—,ACTIVE,—,"العهد والمرتجعات / الاستلام المؤقت","الصرف والعهدة · العمل اليومي · القطع والمواد · معالجة ما تعثّرما ينتظر اعتمادي اليوم","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","إدارة المشتريات التشغيلية"
288,Procurement/rfq_compare_award.php,"طلب العروض ومقارنتها","طلب العروض ومقارنتها","RFQ Compare Award",—,"تعرض عروض كل طلبٍ جنبًا إلى جنبٍ بأسعار وحداتها وكمياتها وجاهزيتها وتقييم سجلّ مورّديها، وتتيح الترسية. الغرض سدُّ الخطوة الناقصة بين طلب العروض وأمر الشراء؛ والترسية بسببٍ موثَّقٍ","إدارة المشتريات التشغيلية","2 — العمليات","طلبات العروض",450,"شاشةٌ مستقلة",2,"إدارة المشتريات · ادارة الموردين","يُنقل إلى موضعِه المعياريّ",APPROVED,"مطابقةٌ دلاليةٌ بمراحلِ دورةِ الإدارةِ المالكة","مرحلةٌ متتاليةٌ مع Suppliers/rfq_requests.php — لا ازدواج",—,ACTIVE,—,"طلب العروض ومقارنتها","العروض والترسية · نتحقق من قدرتهالعقدُ وقواعدُ التحميلِ والجزاءاتِ عليه","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","إدارة المشتريات التشغيلية"
289,Procurement/stock_proc.php,"أرصدة المخزون بحالاتها","أرصدة المخزون بحالاتها","Stock Proc",—,"تعرض رصيد المخزون لكل صنفٍ في كل مخزن: الوارد والمرتجع والمصروف والمتاح. الغرض معرفة الرصيد الحقيقي محسوبًا من الحركات لا من حقلٍ مخزَّنٍ قد يختلّ. يستخدمها مسؤول المشتريات.","إدارة المشتريات التشغيلية","4 — التقارير والتحليلات","الطلبات وحدود المخزون",350,تقرير,6,"أمين المستودع · إدارة المالية · إدارة المشتريات · إدارة الموقع · ادارة التشغيل · ادارة الصيانة","يبقى تقريرًا في المستوى ٤ + يُنقل إلى موضعِه المعياريّ",APPROVED,"مطابقةٌ دلاليةٌ بمراحلِ دورةِ الإدارةِ المالكة",—,—,ACTIVE,—,"أرصدة المخزون بحالاتها","استقبال الاحتياج · الإدخال والرصيد · التكلفة والتحميل · القطع والمواد · سجلات التشغيل · معالجة ما تعثّرما ينتظر اعتمادي اليوم","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","إدارة المشتريات التشغيلية"
290,Procurement/dashboard_proc.php,"لوحة الإدارة","لوحة الإدارة (dashboard_proc)","Dashboard Proc","لوحة الإدارة · لوحة الإدارة — المشتريات","تعرض بطاقات مؤشّرات المشتريات مع جدول القطع الحرجة وحدودها الدنيا ومخزون أمانها ومدة توريدها. الغرض إعطاء مسؤول المشتريات صورةً سريعةً عمّا يوشك أن ينفد وما ينتظر التوريد. يستخدمها","إدارة المشتريات التشغيلية","4 — التقارير والتحليلات","التقارير والتحليلات",900,تقرير,1,"إدارة المشتريات","يبقى تقريرًا في المستوى ٤ + يُنقل إلى موضعِه المعياريّ",PENDING_OWNER,"مجلدُ المسارِ والتصنيفُ الوظيفيّ — يلزم تصديقٌ من الوثيقةِ المالكة",—,—,ACTIVE,—,"لوحة الإدارة","العمل اليومي","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","إدارة المشتريات التشغيلية"
291,Procurement/warehouse_board.php,"لوحة الإدارة","لوحة الإدارة (warehouse_board)","Warehouse Board","لوحة الإدارة · لوحة الإدارة — المشتريات","تعرض لوحة أمين المستودع بأسئلة صباحه: ما الأصناف تحت الحد الأدنى (برصيدها الحيّ ومتوسط استهلاكها اليومي والحد المقترح)، وما استلامات اليوم وصرفياته، وما العهد المفتوحة. الغرض إعطاء","إدارة المشتريات التشغيلية","4 — التقارير والتحليلات","التقارير والتحليلات",900,تقرير,1,"أمين المستودع","يبقى تقريرًا في المستوى ٤ + يُنقل إلى موضعِه المعياريّ",PENDING_OWNER,"مجلدُ المسارِ والتصنيفُ الوظيفيّ — يلزم تصديقٌ من الوثيقةِ المالكة",—,—,ACTIVE,—,"لوحة الإدارة","العمل اليومي","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","إدارة المشتريات التشغيلية"
292,Procurement/items_proc.php,"كتالوج الأصناف والقطع الحرجة","كتالوج الأصناف والقطع الحرجة","Items Proc",—,"تعرض كتالوج الأصناف وقطع الغيار بكودها واسمها وفئتها وطبيعتها ووحدتها وحدودها الدنيا والعليا ومخزون أمانها ومدة توريدها، ووسمِ ما هو حرجٌ منها. الغرض توحيد تعريف الصنف الذي تُبنى ع","إدارة المشتريات التشغيلية","5 — البيانات المرجعية","استقبال الاحتياج",900,"شاشةٌ مستقلة",3,"أمين المستودع · إدارة المشتريات · ادارة الصيانة","يُنقل إلى موضعِه المعياريّ",PENDING_OWNER,"مجلدُ المسارِ والتصنيفُ الوظيفيّ — يلزم تصديقٌ من الوثيقةِ المالكة",—,—,ACTIVE,—,"كتالوج الأصناف والقطع الحرجة","استقبال الاحتياج · القطع والمواد · سجلات وإعدادات المخازن","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","إدارة المشتريات التشغيلية"
293,Procurement/reordering_proc.php,"حدود إعادة الطلب","حدود إعادة الطلب","Reordering Proc",—,"تعرض قواعد إعادة الطلب لكل صنفٍ في كل مخزن: الحد الأدنى والأعلى ونقطة إعادة الطلب ومخزون الأمان ووضع الصنف الحالي مقابلها. الغرض إطلاق التنبيه قبل نفاد الصنف بدل اكتشافه فارغًا. يس","إدارة المشتريات التشغيلية","5 — البيانات المرجعية","البيانات المرجعية",900,"شاشةٌ مستقلة",2,"أمين المستودع · إدارة المشتريات","يُنقل إلى موضعِه المعياريّ",PENDING_OWNER,"مجلدُ المسارِ والتصنيفُ الوظيفيّ — يلزم تصديقٌ من الوثيقةِ المالكة",—,—,ACTIVE,—,"حدود إعادة الطلب","العمل اليومي","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","إدارة المشتريات التشغيلية"
294,Procurement/suppliers_proc.php,"موردو المشتريات","موردو المشتريات","Suppliers Proc",—,"تعرض الموردين التشغيليين (موردي المواد والقطع) بكودهم واسمهم وطبيعة التعامل والشخص المسؤول والهاتف وشروط السداد. الغرض تعريف من تُشترى منه المواد، وهم غير موردي المعدات المتعاقَد م","إدارة المشتريات التشغيلية","5 — البيانات المرجعية","البيانات المرجعية",900,"شاشةٌ مستقلة",1,"إدارة المشتريات","يُنقل إلى موضعِه المعياريّ",PENDING_OWNER,"مجلدُ المسارِ والتصنيفُ الوظيفيّ — يلزم تصديقٌ من الوثيقةِ المالكة",—,—,ACTIVE,—,"موردو المشتريات","العمل اليومي","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","إدارة المشتريات التشغيلية"
295,Procurement/master_data_proc.php,"البيانات المرجعية / المخازن وأنواعها","المخازن وأنواعها","Master Data Proc","البيانات المرجعية / المخازن وأنواعها","تعرض البيانات المرجعية للمشتريات في شاشةٍ واحدة: القيم المرجعية (فئات وتصنيفات) والمخازن بأكوادها ومواقعها. الغرض توحيد ما يُختار في شاشات المشتريات وتعريف المخازن التي تُنسب إليها","إدارة المشتريات التشغيلية","5 — البيانات المرجعية","سجلات وإعدادات المخازن",900,"شاشةٌ مستقلة",2,"أمين المستودع · إدارة المشتريات","يُنقل إلى موضعِه المعياريّ",PENDING_OWNER,"مجلدُ المسارِ والتصنيفُ الوظيفيّ — يلزم تصديقٌ من الوثيقةِ المالكة",—,—,ACTIVE,—,"البيانات المرجعية / المخازن وأنواعها","العمل اليومي · سجلات وإعدادات المخازن","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","إدارة المشتريات التشغيلية"
296,Procurement/wh_receipt.php,"الاستلام المؤقت قبل الإدخال","الاستلام المؤقت قبل الإدخال","Wh Receipt",—,"تسجّل الاستلام المؤقت للمواد قبل إدخالها المخزن رسميًّا. الغرض تتبّع ما وصل ولم يُدخَل بعد فلا يضيع بين المورد والمخزن. يستخدمها أمين المستودع.","إدارة المخازن","2 — العمليات",الاستلام,200,"شاشةٌ مستقلة",2,"أمين المستودع · إدارة المشتريات","يُنقل إلى موضعِه المعياريّ",APPROVED,"دورةُ الإدارةِ المالكةِ في الحزمة","زاويةُ نظرٍ لنفسِ البيانات مع: Procurement/receipt_custody_proc.php",—,ACTIVE,—,"الاستلام المؤقت قبل الإدخال","الاستلام والفحص · الاستلام والمطابقة","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","إدارة المخاز�"
297,Procurement/wh_transfer.php,"التحويل بين المخازن","التحويل بين المخازن","Wh Transfer",—,"تنقل الأصناف بين المخازن بحركتين ذرّيّتين في معاملةٍ واحدة: صادرٌ من المصدر ووارِدٌ إلى الوجهة بمرجعٍ واحدٍ يربطهما. الغرض ألّا يظهر صنفٌ في مخزنين ولا يختفي من كليهما. يستخدمها أم","إدارة المخازن","2 — العمليات",الاستلام,240,"شاشةٌ مستقلة",1,"أمين المستودع","يُنقل إلى موضعِه المعياريّ",APPROVED,"دورةُ الإدارةِ المالكةِ في الحزمة",—,—,ACTIVE,—,"التحويل بين المخازن","الإدخال والرصيد","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","إدارة المخاز�"
